iter	Passed	Remaining
0	28	4245
1	67	4968
2	98	4808
3	133	4864
4	161	4684
5	191	4595
6	222	4548
7	252	4474
8	281	4417
9	311	4366
10	342	4322
11	371	4274
12	400	4218
13	430	4178
14	458	4122
15	487	4082
16	516	4043
17	548	4024
18	581	4006
19	610	3971
20	639	3925
21	667	3885
22	700	3866
23	734	3854
24	765	3828
25	795	3796
26	828	3772
27	860	3750
28	888	3708
29	919	3679
30	947	3638
31	978	3606
32	1007	3573
33	1039	3545
34	1076	3537
35	1107	3508
36	1138	3478
37	1168	3443
38	1198	3410
39	1228	3378
40	1256	3340
41	1285	3304
42	1314	3269
43	1347	3245
44	1377	3214
45	1408	3183
46	1438	3151
47	1467	3117
48	1496	3085
49	1524	3049
50	1553	3015
51	1584	2985
52	1614	2954
53	1644	2923
54	1671	2887
55	1703	2859
56	1733	2828
57	1763	2797
58	1792	2765
59	1820	2730
60	1850	2699
61	1880	2668
62	1908	2634
63	1937	2603
64	1965	2570
65	1993	2537
66	2021	2504
67	2050	2472
68	2081	2443
69	2122	2426
70	2162	2405
71	2196	2379
72	2225	2347
73	2253	2314
74	2285	2285
75	2314	2253
76	2342	2220
77	2368	2186
78	2397	2154
79	2425	2122
80	2492	2123
81	2530	2098
82	2559	2065
83	2591	2036
84	2623	2006
85	2652	1973
86	2683	1942
87	2713	1911
88	2743	1880
89	2774	1849
90	2806	1819
91	2836	1788
92	2872	1760
93	2900	1727
94	2935	1699
95	2967	1669
96	2999	1638
97	3032	1609
98	3062	1577
99	3093	1546
100	3125	1516
101	3155	1485
102	3186	1454
103	3216	1422
104	3247	1391
105	3281	1362
106	3315	1332
107	3351	1303
108	3391	1275
109	3429	1246
110	3461	1216
111	3495	1186
112	3525	1154
113	3561	1124
114	3594	1093
115	3625	1062
116	3657	1031
117	3687	999
118	3720	969
119	3753	938
120	3785	907
121	3814	875
122	3845	844
123	3874	812
124	3906	781
125	3933	749
126	3964	717
127	3994	686
128	4028	655
129	4060	624
130	4094	593
131	4142	564
132	4215	538
133	4271	510
134	4333	481
135	4402	453
136	4484	425
137	4604	400
138	4659	368
139	4743	338
140	4831	308
141	4872	274
142	4913	240
143	4945	206
144	4976	171
145	5010	137
146	5048	103
147	5090	68
148	5127	34
149	5186	0
