iter	RMSE
0	1.09446475
1	1.04207866
2	0.9939757633
3	0.9536517127
4	0.918182062
5	0.8839691908
6	0.8550318389
7	0.8301820052
8	0.8070624676
9	0.7871617418
10	0.7696818765
11	0.7540153834
12	0.7371896067
13	0.720414673
14	0.7058427522
15	0.6963521234
16	0.6878710845
17	0.6762879018
18	0.6662164499
19	0.6578230465
20	0.6509887049
21	0.6451254134
22	0.6402729857
23	0.635585986
24	0.6314511388
25	0.6269972421
26	0.6201204642
27	0.6135200338
28	0.610195566
29	0.6036265692
30	0.6001544145
31	0.597904063
32	0.5952717811
33	0.5927899296
34	0.5881803105
35	0.5847127414
36	0.5817888399
37	0.5794449544
38	0.576585392
39	0.5730177344
40	0.5693829756
41	0.5680085735
42	0.5665868627
43	0.5644814613
44	0.5631264546
45	0.5609170101
46	0.5585207745
47	0.5570838018
48	0.5550006571
49	0.5527182434
50	0.549852051
51	0.5484797631
52	0.5472489198
53	0.5454124082
54	0.5447208614
55	0.5432969135
56	0.5421104138
57	0.541064479
58	0.5390491166
59	0.5374237774
60	0.5363920089
61	0.5353548489
62	0.5346285354
63	0.5335355103
64	0.5329835028
65	0.5325524306
66	0.5318524861
67	0.5307618228
68	0.528508368
69	0.5272493572
70	0.5262676986
71	0.5255838915
72	0.5245356572
73	0.5235082207
74	0.5227549779
75	0.5222284471
76	0.5219506994
77	0.5216080443
78	0.5206130427
79	0.5191562881
80	0.5183799977
81	0.5175646828
82	0.5165517779
83	0.5158736854
84	0.5147905096
85	0.5140504901
86	0.5129178051
87	0.5121429109
88	0.5117886392
89	0.5110987771
90	0.5105636486
91	0.5098172393
92	0.509227728
93	0.5083421557
94	0.5079663634
95	0.5069377962
96	0.5062809031
97	0.5050395193
98	0.5045867327
99	0.504077656
100	0.503356118
101	0.5029317036
102	0.5016038708
103	0.5010703729
104	0.5002261334
105	0.4991223411
106	0.4988100002
107	0.4983799711
108	0.4977233959
109	0.4969472322
110	0.4960072451
111	0.4955047381
112	0.4949347972
113	0.4944356351
114	0.4938861425
115	0.4931566157
116	0.4923451435
117	0.4919321216
118	0.4914431858
119	0.4908041937
120	0.4899196594
121	0.4892420285
122	0.4884509297
123	0.4878814832
124	0.4873947107
125	0.4869805037
126	0.4859653241
127	0.4855365671
128	0.4849989117
129	0.4840742355
130	0.4831046537
131	0.4827527131
132	0.482059558
133	0.4816386304
134	0.4811745113
135	0.480680816
136	0.4801212925
137	0.4796675274
138	0.4791102788
139	0.478585522
140	0.4781508511
141	0.4773476298
142	0.4769198324
143	0.4764943057
144	0.4761120519
145	0.4756255688
146	0.4749588335
147	0.4745240001
148	0.4741563013
149	0.4738128692
